NPA,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023
112,"7.4%","14.1%","9.3%","7.3%","5.1%","8%","12.5%","20.3%","29.7%","16.4%"
113,"7.5%","12.4%","10.2%","12.8%","10.4%","13.9%","14%","24%","27.3%","23.9%"
114,"15.4%","19.6%","18.9%","24.2%","23%","24.8%","22.5%","42.2%","44.1%","32.5%"
115,"4.6%","4.9%","2.1%","2.7%","3.8%","3.8%","3.9%","3.3%","11.5%","9.6%"
116,"8.9%","13.7%","13.5%","14.3%","14.8%","13.3%","17.9%","31.1%","37%","32.8%"
117,"8.9%","10.5%","9.6%","12.8%","11.6%","13.8%","14.4%","23.6%","30.7%","26.1%"
118,"4.6%","11%","6.3%","5.3%","9.7%","6.4%","7.4%","1.7%","5.3%","9.8%"
119,"8.1%","14.5%","12.7%","13.2%","8.9%","17.6%","17.5%","32.2%","31.9%","26.4%"
120,"8.8%","18.7%","21.5%","22.5%","21%","19.9%","18.1%","40.3%","38.5%","35.2%"
121,"10.8%","11.7%","17.1%","15%","17.8%","20.3%","20.7%","33.7%","42.3%","32.1%"
122,"--","--","--","--","--","--","--","--","--","--"
123,"12.6%","20.4%","15.2%","15.1%","20.6%","22.4%","22%","43.5%","51.9%","36.1%"
124,"11.6%","18.3%","11.6%","14.2%","18.7%","24%","23.8%","42.4%","44.9%","36.2%"
125,"8.2%","10.4%","12.1%","11.5%","10.6%","10.1%","15.6%","35.8%","43.4%","26.9%"
126,"13.2%","10.8%","11.9%","17.6%","21.7%","15.2%","23%","34%","43.7%","32.2%"
127,"10.6%","11%","13.4%","9.7%","11.2%","13.2%","23.6%","37.5%","33.1%","26.2%"
128,"10.9%","14.4%","18.4%","17.1%","20.8%","18.4%","19.7%","43.7%","40.9%","36%"
129,"2.2%","6.2%","3.9%","4.8%","5.2%","6.4%","5.6%","2.6%","12.8%","5.7%"
130,"7.4%","2.4%","1.9%","3.8%","5.3%","3.4%","5.4%","8.2%","17.2%","15.2%"
131,"7.2%","9.9%","9.3%","12%","10%","11.8%","13.6%","11.2%","22.2%","20.3%"
132,"10.7%","22.2%","31.3%","42.1%","33.3%","28.6%","27.7%","7.4%","22.9%","27.8%"
133,"3.8%","--","4.3%","3.8%","3.3%","6.1%","5.1%","2.8%","11.5%","7.9%"
134,"11.7%","10.1%","15.4%","10.8%","16.2%","8.4%","11.3%","25.8%","38.5%","29%"
135,"8.6%","12.5%","9.7%","12.7%","18.2%","17.7%","19.5%","48.2%","47.7%","36.7%"
136,"5.1%","7.2%","11.1%","5.6%","7.8%","10.2%","6.4%","10.8%","24.7%","16.7%"
137,"9.6%","12.9%","8.5%","10.3%","13.4%","13.2%","17.5%","24.5%","33%","24.3%"
138,"15.4%","20.1%","20.1%","24.6%","23.6%","25%","20.3%","45.3%","41.5%","38.3%"
139,"6.9%","12.1%","14.4%","10.4%","11.9%","17.8%","21.7%","34.7%","41%","27.2%"
140,"8.8%","12.1%","12.3%","14.6%","16%","11.3%","12.5%","30.3%","27.8%","21%"
141,"8.6%","21%","23.4%","17.9%","14.2%","25.4%","37.1%","49.2%","42.9%","30.7%"
142,"10.2%","9.6%","11.8%","10.2%","17.5%","18.1%","17.4%","34.8%","35.5%","32.9%"
143,"1.6%","4.1%","4.3%","4.1%","3.2%","2.2%","3.5%","5.8%","12%","6.8%"
144,"12%","16%","16.9%","16.8%","18.6%","14.3%","17.4%","35.5%","37.8%","31.4%"
145,"10%","13.7%","11.6%","14%","14.9%","13.1%","15%","30.5%","32.8%","20.6%"
146,"9%","10.8%","14.2%","13.7%","11.5%","10.2%","13.7%","22.2%","24.9%","18.6%"
147,"9.3%","14.3%","12.5%","11.7%","12.4%","13.4%","17.8%","29.9%","32.3%","29.4%"
148,"3.5%","2.8%","3.7%","3.1%","5.1%","7.1%","4.3%","2.4%","6.2%","5.6%"
149,"7.3%","6.6%","9.1%","8.3%","7.9%","4.9%","3%","4.7%","8.4%","9.8%"
150,"9.1%","12.4%","13.1%","11.1%","15.1%","18.3%","16.9%","23.3%","34.9%","31.4%"
151,"3.5%","5.1%","3.6%","2.5%","4.1%","4%","5.2%","3.2%","13.2%","12.9%"
152,"9.5%","8.4%","7.9%","8.8%","11.3%","9.4%","23%","22.1%","27%","21.3%"
153,"4.6%","7.6%","4.8%","6.4%","5.8%","4.5%","7.7%","18.5%","23.5%","15.8%"
154,"7.4%","8.2%","8.6%","7.5%","9.5%","11.1%","13.1%","18.6%","26.5%","18.6%"
155,"7.4%","8.6%","8.5%","10.3%","12.4%","12.6%","15.3%","29.5%","30.4%","28%"
156,"4.9%","11.9%","11%","10%","11.9%","15.6%","18.2%","23.7%","30%","25.7%"
157,"18.9%","25.8%","29.7%","26.4%","31.1%","27.1%","38.2%","52.2%","45.2%","44.7%"
158,"7.4%","13.7%","13.2%","14.1%","12.7%","15.1%","16.3%","32.2%","33.4%","30.1%"
159,"9.8%","12%","25.5%","16.8%","20.4%","15.4%","18.5%","43.7%","42.2%","27.3%"
160,"15%","19%","17%","17.4%","20.1%","24%","20.7%","40.6%","35.8%","29%"
161,"8.2%","9.6%","8.4%","9.2%","8.6%","12.4%","17.6%","22.4%","34%","25.5%"
162,"6.3%","9.1%","7.5%","11.1%","9.3%","8.9%","8.9%","32.4%","27%","22%"
163,"15.9%","18.1%","26.3%","24.5%","9.2%","15.1%","23.1%","26%","31.9%","19.9%"
164,"10.2%","10.5%","12%","12.3%","11%","13.1%","17%","43.2%","34.1%","27.6%"
165,"9.7%","15%","11.7%","14.1%","11.6%","10.7%","17.1%","31%","32.5%","27.2%"
166,"10.8%","16.4%","8.7%","13.8%","13.2%","13.7%","16.2%","37%","33.5%","30.3%"
167,"15.7%","15.6%","10.4%","4.8%","10.3%","15.8%","15.2%","27.6%","21%","23.6%"
168,"11.9%","13.2%","18.8%","19.8%","18.7%","15%","17.8%","42.2%","28.3%","25.8%"
169,"4.5%","4.1%","4.4%","5.2%","5.1%","6.4%","5.6%","3.4%","12.8%","12.3%"
170,"3.2%","4.1%","4.7%","2.4%","3.8%","4.8%","5.6%","2.4%","10.5%","11.1%"
171,"5.4%","1.9%","5%","7.7%","5.7%","9%","10.8%","6.1%","22.6%","18.6%"
172,"2.2%","3.1%","3.4%","3.4%","3.7%","3.5%","5.1%","3%","11.1%","10%"
173,"7.5%","17%","14.4%","18.2%","15.3%","18%","20.5%","32.9%","34.9%","28.4%"
174,"7.7%","7.7%","5.9%","4.1%","8.3%","10.3%","11.8%","15.1%","27.3%","20.9%"
175,"4.4%","5%","4.6%","3.1%","4.1%","2.9%","2.5%","2.6%","9.2%","7.6%"
176,"4.6%","4.2%","4.5%","3%","3.9%","4.1%","5%","3.9%","12.6%","9.7%"
177,"3.4%","7%","4.1%","2.5%","5%","6.9%","7%","5.1%","13.6%","10.2%"
